City_ID,City,Country,Date,Latitude,Longitude,Cloudiness,Humidity,Max Temperature,Wind Speed
80,Juba,SS,1621323373,4.8517,31.5825,53,46,90.34,3.53
81,Sri Aman,MY,1621323621,1.2376,111.4621,40,79,84.25,8.05
82,Damaturu,NG,1621323622,11.747,11.9608,83,37,90.41,10.18
83,Port-Cartier,CA,1621323622,50.0334,-66.8654,100,89,42.75,8.41
84,Albany,US,1621323536,42.6001,-73.9662,100,71,54.21,3.65
85,Tiarei,PF,1621323623,-17.5333,-149.3333,53,79,78.82,21.23
86,Tasiilaq,GL,1621323623,65.6145,-37.6368,10,65,21.36,2.19
87,Vila Franca do Campo,PT,1621323623,37.7167,-25.4333,100,94,61.21,8.84
88,Portland,US,1621323367,45.5234,-122.6762,87,83,54.46,4.0
89,Nísia Floresta,BR,1621323624,-6.0911,-35.2086,6,91,76.01,7.43
90,Hithadhoo,MV,1621323625,-0.6,73.0833,5,72,84.33,6.08
91,Saint Paul Harbor,US,1621323625,57.79,-152.4072,1,61,47.71,9.22
92,Salaga,GH,1621323625,8.5508,-0.5188,48,69,83.17,7.85
93,Bereda,ES,1621323626,43.2686,-7.5406,100,99,58.75,5.44
94,Kagoro,NG,1621323626,9.6,8.3833,97,65,80.29,4.25
95,Las Vegas,US,1621323490,36.175,-115.1372,1,21,81.28,14.97
96,Provideniya,RU,1621323627,64.3833,-173.3,57,82,32.68,4.99
97,Busselton,AU,1621323627,-33.65,115.3333,19,66,67.08,9.86
98,Vaini,TO,1621323628,-21.2,-175.2,20,88,75.36,5.75
99,Bluff,NZ,1621323628,-46.6,168.3333,100,73,44.8,29.26
100,Isangel,VU,1621323629,-19.55,169.2667,87,80,75.34,19.04
101,Hilo,US,1621323458,19.7297,-155.09,75,78,74.93,5.75
102,Jiblah,YE,1621323629,13.9216,44.1467,26,28,78.53,4.88
103,Hergla,TN,1621323629,36.0303,10.509,0,35,73.99,13.8
104,Inuvik,CA,1621323630,68.3499,-133.7218,75,53,47.16,5.75
105,Tual,ID,1621323630,-5.6667,132.75,95,78,82.85,18.92
106,Cherskiy,RU,1621323631,68.75,161.3,33,62,42.57,10.42
107,Anagé,BR,1621323631,-14.6122,-41.1356,24,80,61.83,2.73
108,Coronel,CL,1621323631,-37.0167,-73.1333,100,54,51.82,3.56
109,Wanning,CN,1621323632,18.8003,110.3967,49,68,89.31,13.44
110,Sinazongwe,ZM,1621323632,-17.2614,27.4618,0,43,73.98,2.89
111,Arcata,US,1621323633,40.8665,-124.0828,1,67,49.68,3.33
112,Hong Kong,HK,1621323633,22.2855,114.1577,18,73,90.97,1.01
113,Yulara,AU,1621323634,-25.2406,130.9889,100,12,73.24,10.36
114,Port Hedland,AU,1621323634,-20.3167,118.5667,2,36,82.45,17.27
115,Kaitangata,NZ,1621323634,-46.2817,169.8464,95,88,44.92,16.93
116,Samarai,PG,1621323635,-10.6167,150.6667,90,85,80.91,10.76
117,Ilulissat,GL,1621323635,69.2167,-51.1,52,60,35.62,2.3
118,Airai,TL,1621323635,-8.9266,125.4092,100,84,65.08,2.71
119,Pevek,RU,1621323636,69.7008,170.3133,15,86,29.8,9.06
120,Belyy Yar,RU,1621323636,53.6039,91.3903,40,61,60.69,22.26
121,Sitka,US,1621323637,57.0531,-135.33,40,76,46.29,9.22
122,Kruisfontein,ZA,1621323637,-34.0033,24.7314,76,41,62.22,7.63
123,Hambantota,LK,1621323637,6.1241,81.1185,40,62,91.74,17.31
124,Porto Santo,PT,1621323638,33.072,-16.3415,40,72,64.78,10.36
125,Murud,IN,1621323638,18.3258,72.965,99,77,85.87,20.98
126,Russell,US,1621323639,32.3502,-85.1999,1,71,68.97,7.4
127,Mehamn,NO,1621323639,71.0357,27.8492,100,98,40.91,16.17
128,Ponta do Sol,PT,1621323640,32.6667,-17.1,4,61,67.71,3.8
129,Chui,UY,1621323640,-33.6971,-53.4616,18,91,47.1,6.71
130,Marawi,PH,1621323640,7.9986,124.2928,100,96,72.59,3.98
131,Humaitá,BR,1621323641,-7.5061,-63.0208,100,86,72.61,1.07
132,Castro,BR,1621323641,-24.7911,-50.0119,0,92,48.25,2.39
133,Okhotsk,RU,1621323641,59.3833,143.3,100,84,35.35,5.53
134,Tawang Town,IN,1621323642,27.5833,91.8667,95,64,62.56,7.85
135,Betwagan,PH,1621323643,17.0833,120.9667,99,83,75.85,0.76
136,Cabo San Lucas,MX,1621323643,22.8909,-109.9124,3,64,75.4,14.65
137,Vostok,RU,1621323643,46.4856,135.8833,7,29,72.79,7.11
138,Port Elizabeth,ZA,1621323644,-33.918,25.5701,0,63,59.29,4.61
139,Batticaloa,LK,1621323644,7.7102,81.6924,92,64,87.91,8.72
140,Puerto Ayora,EC,1621323645,-0.7393,-90.3518,39,95,75.54,5.01
141,Tiksi,RU,1621323645,71.6872,128.8694,100,93,31.8,17.0
142,Havre-St-Pierre,CA,1621323646,50.2334,-63.5986,90,93,41.36,9.22
143,Madaba Governorate,JO,1621323441,31.5833,35.6667,0,37,74.7,4.7
144,Calama,CL,1621323646,-22.4667,-68.9333,0,26,43.29,16.11
145,East London,ZA,1621323646,-33.0153,27.9116,0,59,61.74,2.3
146,Kavieng,PG,1621323647,-2.5744,150.7967,65,74,84.43,9.42
147,North Platte,US,1621323559,41.1239,-100.7654,90,95,57.99,1.99
148,Moïssala,TD,1621323647,8.3404,17.7663,66,53,86.63,7.52
149,Khatanga,RU,1621323648,71.9667,102.5,100,81,24.12,13.96
150,Smidovich,RU,1621323648,48.6,133.8167,92,32,79.79,11.7
151,Vestmannaeyjar,IS,1621323649,63.4427,-20.2734,99,89,38.91,5.79
152,São Filipe,CV,1621323649,14.8961,-24.4956,15,68,74.16,6.11
153,Birjand,IR,1621323650,32.8663,59.2211,0,6,82.87,6.91
154,Moroni,KM,1621323650,-11.7022,43.2551,6,65,83.84,12.75
155,Upernavik,GL,1621323650,72.7868,-56.1549,100,92,30.06,6.89
156,Chokurdakh,RU,1621323651,70.6333,147.9167,100,99,32.13,9.24
157,Mahibadhoo,MV,1621323651,3.7833,72.9667,36,73,84.61,13.82
158,Goderich,CA,1621323651,43.7501,-81.7165,0,51,61.12,5.75
159,Naze,JP,1621323652,28.3667,129.4833,100,83,76.12,7.09
160,Abu Samrah,SY,1621323652,35.3029,37.1841,0,25,78.44,4.56
161,Chabahar,IR,1621323653,25.2919,60.643,0,52,93.15,12.17
162,Walvis Bay,NA,1621323653,-22.9575,14.5053,8,55,67.15,4.38
163,Ōdate,JP,1621323654,40.2686,140.5683,75,67,65.91,2.93
164,Fairbanks,US,1621323654,64.8378,-147.7164,90,72,48.6,0.0
165,Thompson,CA,1621323654,55.7435,-97.8558,90,86,33.96,11.5
166,Baykit,RU,1621323655,61.67,96.37,100,36,42.53,6.76
167,Harper,LR,1621323655,4.375,-7.7169,100,84,80.11,4.12
168,George Town,MY,1621323583,5.4112,100.3354,20,70,89.53,9.22
169,Tura,IN,1621323656,25.5198,90.2201,100,51,91.83,0.83
170,Verāval,IN,1621323656,20.9,70.3667,100,75,84.16,20.94
171,Barrow,US,1621323657,71.2906,-156.7887,90,80,30.22,9.22
172,Bonavista,CA,1621323657,48.6499,-53.1147,100,75,38.12,2.19
173,Ostrovnoy,RU,1621323657,68.0531,39.5131,100,65,59.97,16.22
174,Shirgaon,IN,1621323658,19.7,72.7,100,76,86.02,29.06
175,Dicabisagan,PH,1621323658,17.0818,122.4157,98,68,86.43,8.3
176,Miraflores,MX,1621323658,19.2167,-98.8083,99,78,59.65,3.53
177,Cayenne,GF,1621323659,4.9333,-52.3333,75,90,76.08,8.93
178,Nautla,MX,1621323659,20.2167,-96.7833,10,84,76.21,3.69
179,Sabha,LY,1621323660,27.0377,14.4283,60,12,91.38,12.73
180,Djibo,BF,1621323660,14.1022,-1.6306,8,33,94.3,17.02
181,Porto Walter,BR,1621323660,-8.2686,-72.7439,89,100,69.08,1.48
182,St. Pete Beach,US,1621323661,27.7253,-82.7412,20,63,73.42,1.01
183,Saskylakh,RU,1621323661,71.9167,114.0833,100,92,32.22,15.64
184,Tongliao,CN,1621323662,43.6125,122.2653,8,8,91.9,13.4
185,Sladna,BA,1621323662,44.7294,18.4242,3,59,61.47,2.89
186,Faya,SA,1621323663,18.3851,42.4509,52,13,81.12,4.38
187,Rokupr,SL,1621323663,8.6717,-12.395,90,90,77.99,1.28
188,Klyuchi,RU,1621323664,52.2667,79.1667,28,21,88.34,15.05
189,Ola,RU,1621323664,59.5833,151.2833,100,79,36.23,6.82
190,Sālūr,IN,1621323664,18.5333,83.2167,9,31,102.15,7.92
191,Amparafaravola,MG,1621323665,-17.5833,48.2167,0,50,73.35,4.7
192,Souillac,MU,1621323665,-20.5167,57.5167,20,58,82.78,12.8
